,phylum,class,order,family,genus,species,taxon
1714,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Dysosmobacter,Dysosmobacter welbionis,Dysosmobacter welbionis
1717,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter valericigenes,Oscillibacter valericigenes Sjm18-20
1718,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,,,Oscillospiraceae
1719,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1720,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus bicirculans,Ruminococcus bicirculans
1722,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,,Ruminococcus
1732,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1734,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruthenibacterium,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans
1735,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii
1738,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii
1739,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,Ruminococcaceae
1741,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1761,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Thermoclostridium,Thermoclostridium stercorarium,Thermoclostridium stercorarium subsp. stercorarium DSM 8532
1994,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum umeaense,Lachnoanaerobaculum umeaense
1995,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia sp. SC05B48,Blautia sp. SC05B48
2003,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,Blautia
2019,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2023,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79
2025,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,[Eubacterium] rectale,[Eubacterium] rectale ATCC 33656
2027,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia hominis,Roseburia hominis A2-183
2029,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,Lachnospiraceae
2031,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2032,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,[Eubacterium] eligens,[Eubacterium] eligens ATCC 27750
2036,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2039,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,Anaerostipes
2049,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum propionicum,Anaerotignum propionicum DSM 1682
2097,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,Christensenella sp. Marseille-P3954,Christensenella sp. Marseille-P3954
4324,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sporogenes,Clostridium sporogenes
4886,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens YIT 12067
4901,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister sp. Marseille-P5638,Dialister sp. Marseille-P5638
4961,Firmicutes,,,,,,Firmicutes
5723,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505
7176,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii DSM 17242
7177,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,,Alistipes
7237,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides distasonis ATCC 8503
7242,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,,Parabacteroides
7246,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides caecimuris,Bacteroides caecimuris
7276,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482
7283,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides cellulosilyticus,Bacteroides cellulosilyticus
7289,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides dorei,Bacteroides dorei CL03T12C01
7337,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,,,Bacteroidales
7340,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,,,Bacteroidales
7347,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,Odoribacter splanchnicus DSM 20712
7350,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas faecalis <H184>,Butyricimonas faecalis <H184>
8225,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio alaskensis,Desulfovibrio alaskensis G20
8932,Proteobacteria,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium YL45,Burkholderiales bacterium YL45
8933,Proteobacteria,Betaproteobacteria,Burkholderiales,,,,Burkholderiales
12651,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,Haemophilus parainfluenzae
1032,Proteobacteria,Alphaproteobacteria,Pelagibacterales,,,,Pelagibacterales
1709,Firmicutes,Clostridia,Clostridiales,,Intestinimonas,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens
1710,Firmicutes,Clostridia,Clostridiales,,,Clostridiales bacterium CCNA10,Clostridiales bacterium CCNA10
1711,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor plautii,Flavonifractor plautii
1716,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,,,Oscillospiraceae
1725,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,Ruminococcaceae
1726,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus sp. JE7A12,Ruminococcus sp. JE7A12
1731,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1740,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,Ruminococcaceae
1747,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Ruminiclostridium,Ruminiclostridium cellulolyticum,Ruminiclostridium cellulolyticum H10
1870,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium chauvoei,Clostridium chauvoei
1874,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,Clostridium
1939,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,,Clostridiaceae
1950,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Aminipila,Aminipila sp. JN-39,Aminipila sp. JN-39
1952,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Mogibacterium,Mogibacterium diversum,Mogibacterium diversum
1982,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides difficile
1990,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Herbinix,Herbinix luporum,Herbinix luporum
1992,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum hallii
1999,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia producta,Blautia producta
2014,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,[Clostridium] scindens ATCC 35704
2016,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,Lachnospiraceae bacterium Choco86,Lachnospiraceae bacterium Choco86
2017,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phocaeense,Lachnoclostridium phocaeense
2026,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia intestinalis,Roseburia intestinalis L1-82
2030,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. SY8519,Clostridium sp. SY8519
2037,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes hadrus
2044,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,,Cellulosilyticum
3247,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus
3302,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,Streptococcus salivarius JIM8777
3949,Fusobacteria <phylum>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum,Fusobacterium mortiferum ATCC 9817
4311,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Faecalibaculum rodentium,Faecalibaculum rodentium
4322,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,Erysipelotrichaceae bacterium SG0102,Erysipelotrichaceae bacterium SG0102
4335,Firmicutes,Bacilli,Bacillales,,Gemella,Gemella morbillorum,Gemella morbillorum
4902,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister pneumosintes,Dialister pneumosintes
4917,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,Megamonas hypermegale
5017,Actinobacteria <phylum>,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,,Coriobacteriaceae
5021,Actinobacteria <phylum>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens DSM 19450
5025,Actinobacteria <phylum>,Coriobacteriia,,,,,Coriobacteriia
5045,Actinobacteria <phylum>,Coriobacteriia,,,,,Coriobacteriia
5572,Actinobacteria <phylum>,Actinobacteria <class>,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia odontolytica,Schaalia odontolytica
5621,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum NCC2705
5647,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,Bifidobacterium breve
5706,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,Bifidobacterium bifidum
5711,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium adolescentis
5712,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium adolescentis ATCC 15703
5729,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,Bifidobacterium
7175,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp. Marseille-P5997,Alistipes sp. Marseille-P5997
7178,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Rikenellaceae,,,Rikenellaceae
7230,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,Barnesiella viscericola DSM 18177
7247,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides caccae,Bacteroides caccae
7250,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides ovatus,Bacteroides ovatus
7282,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,,Bacteroides <genus>
7287,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,,Bacteroides <genus>
7288,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides vulgatus,Bacteroides vulgatus ATCC 8482
7290,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,,Bacteroides <genus>
7292,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila,Paraprevotella xylaniphila YIT 11841
7723,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila
8236,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,Desulfovibrio
8929,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella sp. KGMB03119,Sutterella sp. KGMB03119
11602,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,Enterobacteriaceae
11687,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,Shigella dysenteriae
