,phylum,class,order,family,genus,species,taxon
1032,Proteobacteria,Alphaproteobacteria,Pelagibacterales,,,,Pelagibacterales
1372,Cyanobacteria,,Nostocales,,,,Nostocales
1709,Firmicutes,Clostridia,Clostridiales,,Intestinimonas,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens
1710,Firmicutes,Clostridia,Clostridiales,,,Clostridiales bacterium CCNA10,Clostridiales bacterium CCNA10
1711,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor plautii,Flavonifractor plautii
1714,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Dysosmobacter,Dysosmobacter welbionis,Dysosmobacter welbionis
1716,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,,,Oscillospiraceae
1717,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter valericigenes,Oscillibacter valericigenes Sjm18-20
1719,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1720,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus bicirculans,Ruminococcus bicirculans
1722,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,,Ruminococcus
1726,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus sp. JE7A12,Ruminococcus sp. JE7A12
1728,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,Ruminococcaceae bacterium CPB6,Ruminococcaceae bacterium CPB6
1732,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1734,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruthenibacterium,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans
1735,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii
1738,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii
1739,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,Ruminococcaceae
1740,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,Ruminococcaceae
1741,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1748,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. BNL1100,Clostridium sp. BNL1100
1761,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Thermoclostridium,Thermoclostridium stercorarium,Thermoclostridium stercorarium subsp. stercorarium DSM 8532
1762,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1866,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium isatidis,Clostridium isatidis
1870,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium chauvoei,Clostridium chauvoei
1874,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,Clostridium
1900,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium butyricum,Clostridium butyricum
1938,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,,Clostridiaceae
1955,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,Filifactor alocis,Filifactor alocis ATCC 35896
1982,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides difficile
1983,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,,,Peptostreptococcaceae
1991,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,Lachnospiraceae
1992,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum hallii
1994,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum umeaense,Lachnoanaerobaculum umeaense
1995,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia sp. SC05B48,Blautia sp. SC05B48
1996,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia sp. N6H1-15,Blautia sp. N6H1-15
1999,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia producta,Blautia producta
2000,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia sp. YL58,Blautia sp. YL58
2002,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,Blautia
2003,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,Blautia
2006,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,,Lachnoclostridium
2009,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,Hungatella hathewayi,Hungatella hathewayi WAL-18680
2013,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Mordavella,Mordavella sp. Marseille-P3756,Mordavella sp. Marseille-P3756
2014,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,[Clostridium] scindens ATCC 35704
2016,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,Lachnospiraceae bacterium Choco86,Lachnospiraceae bacterium Choco86
2019,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2022,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,,Butyrivibrio
2023,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79
2024,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,Lachnospiraceae
2025,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,[Eubacterium] rectale,[Eubacterium] rectale ATCC 33656
2026,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia intestinalis,Roseburia intestinalis L1-82
2028,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,,Roseburia
2029,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,Lachnospiraceae
2030,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. SY8519,Clostridium sp. SY8519
2031,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2032,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,[Eubacterium] eligens,[Eubacterium] eligens ATCC 27750
2033,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2036,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2037,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes hadrus
2039,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,Anaerostipes
2049,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum propionicum,Anaerotignum propionicum DSM 1682
3263,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus cristatus,Streptococcus cristatus ATCC 51100
3290,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Streptococcus thermophilus ND03
3949,Fusobacteria <phylum>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum,Fusobacterium mortiferum ATCC 9817
4311,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Faecalibaculum rodentium,Faecalibaculum rodentium
4312,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,Erysipelotrichaceae bacterium I46,Erysipelotrichaceae bacterium I46
4320,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,,Erysipelothrix
4322,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,Erysipelotrichaceae bacterium SG0102,Erysipelotrichaceae bacterium SG0102
4324,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sporogenes,Clostridium sporogenes
4327,Firmicutes,,,,,,Firmicutes
4882,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,Acidaminococcus fermentans DSM 20731
4886,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens YIT 12067
4895,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella dispar,Veillonella dispar
4901,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister sp. Marseille-P5638,Dialister sp. Marseille-P5638
4917,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,Megamonas hypermegale
4961,Firmicutes,,,,,,Firmicutes
5017,Actinobacteria <phylum>,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,,Coriobacteriaceae
5018,Actinobacteria <phylum>,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,,Coriobacteriaceae
5019,Actinobacteria <phylum>,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,,Coriobacteriaceae
5021,Actinobacteria <phylum>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens DSM 19450
5030,Actinobacteria <phylum>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta,Eggerthella lenta DSM 2243
5035,Actinobacteria <phylum>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,,Gordonibacter
5572,Actinobacteria <phylum>,Actinobacteria <class>,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia odontolytica,Schaalia odontolytica
5658,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,Bifidobacterium breve
5723,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505
7175,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp. Marseille-P5997,Alistipes sp. Marseille-P5997
