"","BioProject","country2","eth","region","depth"
"ERR1975227","PRJEB20773","india","indian","vellore",14853
"ERR1975228","PRJEB20773","india","indian","vellore",14820
"ERR1975229","PRJEB20773","india","indian","vellore",13126
"ERR1975230","PRJEB20773","india","indian","vellore",12435
"ERR1975231","PRJEB20773","india","indian","vellore",12433
"ERR1975232","PRJEB20773","india","indian","vellore",12568
"ERR1975233","PRJEB20773","india","indian","vellore",11652
"ERR1975234","PRJEB20773","india","indian","vellore",8719
"ERR1975235","PRJEB20773","india","indian","vellore",12931
"ERR1975236","PRJEB20773","india","indian","vellore",11017
"ERR1975237","PRJEB20773","india","indian","vellore",14272
"ERR1975238","PRJEB20773","india","indian","vellore",13491
"ERR1975239","PRJEB20773","india","indian","vellore",11896
"ERR1975240","PRJEB20773","india","indian","vellore",13716
"ERR1975241","PRJEB20773","india","indian","vellore",12052
"ERR1975242","PRJEB20773","india","indian","vellore",10173
"ERR1975243","PRJEB20773","india","indian","vellore",11305
"ERR1975244","PRJEB20773","india","indian","vellore",14220
"ERR1975245","PRJEB20773","india","indian","vellore",12281
"ERR1975246","PRJEB20773","india","indian","vellore",9947
"ERR1975247","PRJEB20773","india","indian","vellore",13403
"ERR1975248","PRJEB20773","india","indian","vellore",16319
"ERR1975249","PRJEB20773","india","indian","vellore",11033
"ERR1975250","PRJEB20773","india","indian","vellore",13621
"ERR1975251","PRJEB20773","india","indian","vellore",10999
"ERR1975252","PRJEB20773","india","indian","vellore",10889
"ERR1975253","PRJEB20773","india","indian","vellore",11830
"ERR1975254","PRJEB20773","india","indian","vellore",12297
"ERR1975255","PRJEB20773","india","indian","vellore",11686
"ERR1975256","PRJEB20773","india","indian","vellore",12945
"ERR1975257","PRJEB20773","india","indian","vellore",14936
"ERR1975258","PRJEB20773","india","indian","vellore",8098
"ERR1975259","PRJEB20773","india","indian","vellore",13423
"ERR1975260","PRJEB20773","india","indian","vellore",12369
"ERR1975261","PRJEB20773","india","indian","vellore",10989
"ERR1975262","PRJEB20773","india","indian","vellore",13145
"ERR1975263","PRJEB20773","india","indian","vellore",14020
"ERR1975264","PRJEB20773","india","indian","vellore",11222
"ERR1975265","PRJEB20773","india","indian","vellore",11995
"ERR1975266","PRJEB20773","india","indian","vellore",10742
"ERR3511586","PRJEB34323","indonesia","malay","yogyakarta",53914
"ERR3511587","PRJEB34323","indonesia","malay","yogyakarta",68185
"ERR3511588","PRJEB34323","indonesia","malay","yogyakarta",94216
"ERR3511589","PRJEB34323","indonesia","malay","yogyakarta",73199
"ERR3511590","PRJEB34323","indonesia","malay","yogyakarta",57094
"ERR3511591","PRJEB34323","indonesia","malay","yogyakarta",60006
"ERR3511592","PRJEB34323","indonesia","malay","yogyakarta",65453
"ERR3511593","PRJEB34323","indonesia","malay","yogyakarta",52696
"ERR3511594","PRJEB34323","indonesia","malay","yogyakarta",44419
"ERR3511595","PRJEB34323","indonesia","malay","yogyakarta",60932
"ERR3511596","PRJEB34323","indonesia","malay","yogyakarta",46381
"ERR3511597","PRJEB34323","indonesia","malay","yogyakarta",41054
"ERR3511598","PRJEB34323","indonesia","malay","yogyakarta",53306
"ERR3511599","PRJEB34323","indonesia","malay","yogyakarta",114449
"ERR3511600","PRJEB34323","indonesia","malay","yogyakarta",53378
"ERR3511601","PRJEB34323","indonesia","malay","yogyakarta",55318
"ERR3511602","PRJEB34323","indonesia","malay","yogyakarta",56769
"ERR3511603","PRJEB34323","indonesia","malay","yogyakarta",49276
"ERR3511604","PRJEB34323","indonesia","malay","yogyakarta",70283
"ERR3511605","PRJEB34323","indonesia","malay","yogyakarta",67804
"ERR3511606","PRJEB34323","indonesia","malay","yogyakarta",48727
"ERR3511607","PRJEB34323","indonesia","malay","yogyakarta",101593
"ERR3511608","PRJEB34323","indonesia","malay","yogyakarta",78092
"ERR3511609","PRJEB34323","indonesia","malay","yogyakarta",44987
"ERR3511610","PRJEB34323","indonesia","malay","yogyakarta",74661
"ERR3511611","PRJEB34323","indonesia","malay","yogyakarta",64136
"ERR3511612","PRJEB34323","indonesia","malay","yogyakarta",97110
"ERR3511613","PRJEB34323","indonesia","malay","yogyakarta",127269
"ERR3511614","PRJEB34323","indonesia","malay","yogyakarta",87320
"ERR3511615","PRJEB34323","indonesia","malay","yogyakarta",51538
"ERR3511616","PRJEB34323","indonesia","malay","yogyakarta",51959
"ERR3511617","PRJEB34323","indonesia","malay","yogyakarta",38360
"ERR3511618","PRJEB34323","indonesia","malay","yogyakarta",78488
"ERR3511619","PRJEB34323","indonesia","malay","yogyakarta",75161
"ERR3511620","PRJEB34323","indonesia","malay","yogyakarta",46940
"ERR3511621","PRJEB34323","indonesia","malay","yogyakarta",59425
"ERR3511622","PRJEB34323","indonesia","malay","yogyakarta",45493
"ERR3511623","PRJEB34323","indonesia","malay","yogyakarta",39384
"ERR3511624","PRJEB34323","indonesia","malay","yogyakarta",52914
"ERR3511625","PRJEB34323","indonesia","malay","yogyakarta",44469
"ERR3511626","PRJEB34323","indonesia","malay","yogyakarta",134726
"ERR3511627","PRJEB34323","indonesia","malay","yogyakarta",54353
"ERR3511628","PRJEB34323","indonesia","malay","yogyakarta",49121
"ERR3511629","PRJEB34323","indonesia","malay","yogyakarta",82945
"ERR3511630","PRJEB34323","indonesia","malay","yogyakarta",54110
"ERR3511631","PRJEB34323","indonesia","malay","yogyakarta",96646
"ERR3511632","PRJEB34323","indonesia","malay","yogyakarta",89262
"ERR3511633","PRJEB34323","indonesia","malay","yogyakarta",72342
"ERR3511634","PRJEB34323","indonesia","malay","yogyakarta",126804
"ERR3511635","PRJEB34323","indonesia","malay","yogyakarta",45284
"ERR3511636","PRJEB34323","indonesia","malay","yogyakarta",125032
"ERR3511637","PRJEB34323","indonesia","malay","yogyakarta",71888
"ERR3511638","PRJEB34323","indonesia","malay","yogyakarta",78740
"ERR3511639","PRJEB34323","indonesia","malay","yogyakarta",111247
"ERR3511640","PRJEB34323","indonesia","malay","yogyakarta",68720
"ERR3511641","PRJEB34323","indonesia","malay","yogyakarta",60332
"ERR3511642","PRJEB34323","indonesia","malay","yogyakarta",71180
"ERR3511643","PRJEB34323","indonesia","malay","yogyakarta",70943
"ERR3511644","PRJEB34323","indonesia","malay","yogyakarta",102549
"ERR3511645","PRJEB34323","indonesia","malay","yogyakarta",141331
"ERR3511646","PRJEB34323","indonesia","malay","yogyakarta",30649
"ERR3511647","PRJEB34323","indonesia","malay","yogyakarta",53552
"ERR3511648","PRJEB34323","indonesia","malay","yogyakarta",63531
"SRR4042035","PRJNA338148","china","chinese","hangzhou",34427
"SRR4042037","PRJNA338148","china","chinese","hangzhou",49487
"SRR4042054","PRJNA338148","china","chinese","hangzhou",35792
"SRR4042059","PRJNA338148","china","chinese","hangzhou",42960
"SRR4042065","PRJNA338148","china","chinese","beijing",25580
"SRR4042069","PRJNA338148","china","chinese","beijing",38741
"SRR4042071","PRJNA338148","china","chinese","beijing",48579
"SRR4042073","PRJNA338148","china","chinese","beijing",51701
"SRR4042089","PRJNA338148","china","chinese","hangzhou",38307
"SRR4042034","PRJNA338148","china","chinese","hangzhou",42327
"SRR4042047","PRJNA338148","china","chinese","hangzhou",47303
"SRR4042050","PRJNA338148","china","chinese","hangzhou",46424
"SRR4042060","PRJNA338148","china","chinese","hangzhou",34001
"SRR4446532","PRJNA349463","china","chinese","hunan",70206
"SRR4446534","PRJNA349463","china","chinese","hunan",190264
"SRR4446536","PRJNA349463","china","chinese","hunan",99753
"SRR4446538","PRJNA349463","china","chinese","hunan",75997
"SRR4446540","PRJNA349463","china","chinese","hunan",81012
"SRR4446542","PRJNA349463","china","chinese","hunan",109605
"SRR4446544","PRJNA349463","china","chinese","hunan",69232
"SRR4446546","PRJNA349463","china","chinese","hunan",116967
"SRR4446548","PRJNA349463","china","chinese","hunan",72492
"SRR4446550","PRJNA349463","china","chinese","hunan",75788
"SRR4446552","PRJNA349463","china","chinese","hunan",79911
"SRR4446554","PRJNA349463","china","chinese","hunan",102062
"SRR4446557","PRJNA349463","china","chinese","hunan",58950
"SRR4446558","PRJNA349463","china","chinese","hunan",99010
"SRR4446559","PRJNA349463","china","chinese","hunan",191013
"SRR4446564","PRJNA349463","china","chinese","hunan",179441
"SRR4446566","PRJNA349463","china","chinese","hunan",74989
"SRR4446568","PRJNA349463","china","chinese","hunan",160295
"SRR4446570","PRJNA349463","china","chinese","hunan",79383
"SRR4446572","PRJNA349463","china","chinese","hunan",80567
"SRR4446574","PRJNA349463","china","chinese","hunan",80003
"SRR4446576","PRJNA349463","china","chinese","hunan",83231
"SRR4446578","PRJNA349463","china","chinese","hunan",172349
"SRR4446579","PRJNA349463","china","chinese","hunan",100980
"SRR4446582","PRJNA349463","china","chinese","hunan",68848
"SRR4446584","PRJNA349463","china","chinese","hunan",69001
"SRR4446586","PRJNA349463","china","chinese","hunan",72024
"SRR4446588","PRJNA349463","china","chinese","hunan",73530
"SRR4446590","PRJNA349463","china","chinese","hunan",79128
"SRR4446592","PRJNA349463","china","chinese","hunan",90342
"SRR4446594","PRJNA349463","china","chinese","hunan",131253
"SRR4446595","PRJNA349463","china","chinese","hunan",71742
"SRR4446597","PRJNA349463","china","chinese","hunan",74848
"SRR4446598","PRJNA349463","china","chinese","hunan",105952
"SRR4446601","PRJNA349463","china","chinese","hunan",104082
"SRR4446604","PRJNA349463","china","chinese","hunan",88553
"SRR4446605","PRJNA349463","china","chinese","hunan",121343
"SRR4446607","PRJNA349463","china","chinese","hunan",167579
"SRR4446609","PRJNA349463","china","chinese","hunan",78892
"SRR4446611","PRJNA349463","china","chinese","hunan",99163
"SRR5040674","PRJNA353065","indonesia","malay","medan",12540
"SRR5040678","PRJNA353065","indonesia","malay","medan",92113
"SRR5040689","PRJNA353065","indonesia","malay","medan",155713
"SRR5040715","PRJNA353065","indonesia","malay","medan",9377
"SRR5040717","PRJNA353065","indonesia","malay","medan",13944
"SRR5040721","PRJNA353065","indonesia","malay","medan",6228
"SRR5040725","PRJNA353065","indonesia","malay","medan",6354
"SRR5040726","PRJNA353065","indonesia","malay","medan",40150
"SRR5580413","PRJNA385551","china","chinese","taicang",48996
"SRR5580414","PRJNA385551","china","chinese","lanzhou",67568
"SRR5580415","PRJNA385551","china","chinese","lanzhou",77119
"SRR5580416","PRJNA385551","china","chinese","lanzhou",83817
"SRR5580419","PRJNA385551","china","chinese","lanzhou",79223
"SRR5580420","PRJNA385551","china","chinese","lanzhou",63615
"SRR5580421","PRJNA385551","china","chinese","lanzhou",82215
"SRR5580426","PRJNA385551","china","chinese","lanzhou",71015
"SRR5580430","PRJNA385551","china","chinese","suzhou",61833
"SRR5580433","PRJNA385551","china","chinese","suzhou",56118
"SRR5580445","PRJNA385551","china","chinese","lanzhou",65801
"SRR5580461","PRJNA385551","china","chinese","suzhou",64148
"SRR5580462","PRJNA385551","china","chinese","suzhou",76557
"SRR5580464","PRJNA385551","china","chinese","suzhou",71300
"SRR5580469","PRJNA385551","china","chinese","lanzhou",76684
"SRR5580475","PRJNA385551","china","chinese","lanzhou",81844
"SRR5580481","PRJNA385551","china","chinese","lanzhou",66070
"SRR5580487","PRJNA385551","china","chinese","lanzhou",61408
"SRR5580495","PRJNA385551","china","chinese","lanzhou",53487
"SRR5580506","PRJNA385551","china","chinese","lanzhou",80001
"SRR5580509","PRJNA385551","china","chinese","lanzhou",62610
"SRR5580512","PRJNA385551","china","chinese","lanzhou",46446
"SRR5580517","PRJNA385551","china","chinese","lanzhou",63257
"SRR5580519","PRJNA385551","china","chinese","lanzhou",66357
"SRR5580522","PRJNA385551","china","chinese","lanzhou",49457
"SRR5580529","PRJNA385551","china","chinese","lanzhou",56302
"SRR5580533","PRJNA385551","china","chinese","lanzhou",72295
"SRR5580534","PRJNA385551","china","chinese","lanzhou",83719
"SRR5580535","PRJNA385551","china","chinese","lanzhou",57372
"SRR5580542","PRJNA385551","china","chinese","suzhou",70199
"SRR5580551","PRJNA385551","china","chinese","lanzhou",64358
"SRR5580552","PRJNA385551","china","chinese","lanzhou",58574
"SRR5580556","PRJNA385551","china","chinese","lanzhou",82945
"SRR5580559","PRJNA385551","china","chinese","lanzhou",85398
"SRR5580561","PRJNA385551","china","chinese","lanzhou",52319
"SRR5580573","PRJNA385551","china","chinese","lanzhou",94613
"SRR5580575","PRJNA385551","china","chinese","lanzhou",86459
"SRR5580579","PRJNA385551","china","chinese","lanzhou",92476
"SRR5580581","PRJNA385551","china","chinese","lanzhou",99234
"SRR5580582","PRJNA385551","china","chinese","lanzhou",82030
"SRR5580595","PRJNA385551","china","chinese","lanzhou",87841
"SRR5580596","PRJNA385551","china","chinese","lanzhou",91166
"SRR5580599","PRJNA385551","china","chinese","lanzhou",49662
"SRR5580602","PRJNA385551","china","chinese","lanzhou",80971
"SRR5580611","PRJNA385551","china","chinese","lanzhou",70584
"SRR5580617","PRJNA385551","china","chinese","lanzhou",105385
"SRR5580624","PRJNA385551","china","chinese","lanzhou",44945
"SRR5580630","PRJNA385551","china","chinese","lanzhou",55189
"SRR5580637","PRJNA385551","china","chinese","lanzhou",66643
"SRR5580638","PRJNA385551","china","chinese","lanzhou",53770
"SRR5580639","PRJNA385551","china","chinese","lanzhou",52093
"SRR5580641","PRJNA385551","china","chinese","lanzhou",90024
"SRR5580647","PRJNA385551","china","chinese","suzhou",82775
"SRR5580648","PRJNA385551","china","chinese","suzhou",95219
"SRR5580649","PRJNA385551","china","chinese","taicang",54237
"SRR5580652","PRJNA385551","china","chinese","suzhou",68389
"SRR5601900","PRJNA385551","china","chinese","lanzhou",95911
"SRR5601909","PRJNA385551","china","chinese","suzhou",83855
